Home goals,Home shots,Home misses,Home blocks,Home Corsi,Away goals,Away shots,Away misses,Away blocks,Away Corsi
3,20,3,15,41,2,24,12,33,71
2,37,24,29,92,2,32,15,12,61
2,36,11,27,76,7,21,7,18,53
6,27,9,8,50,3,36,5,14,58
1,26,13,26,66,3,29,6,9,47
3,37,6,14,60,6,13,5,6,30
3,21,6,4,34,4,40,13,28,85
4,24,9,9,46,5,35,18,11,69
1,37,12,19,69,1,27,12,14,54
2,23,12,10,47,4,20,20,14,58
6,23,8,12,49,3,27,13,12,55
3,33,15,16,67,5,24,7,12,48
1,30,14,30,75,2,16,7,9,34
5,36,14,19,74,2,23,12,14,51
2,22,5,10,39,2,27,10,14,53
2,26,18,18,64,2,26,10,16,54
5,31,5,13,54,1,23,10,16,50
5,15,10,10,40,1,28,14,14,57
2,36,17,12,67,1,37,16,10,64
6,19,6,11,42,1,26,11,16,54
2,42,5,7,56,3,32,19,11,65
4,20,8,5,37,1,38,14,10,63
6,24,7,11,48,2,28,17,11,58
1,36,16,18,71,5,21,8,5,39
2,32,9,17,60,4,35,14,18,71
1,34,19,19,73,4,26,9,14,53
3,27,9,18,57,2,33,18,15,68
1,33,5,13,52,1,34,10,16,61
8,23,10,11,52,1,30,7,8,46
2,35,10,27,74,1,27,8,13,49
6,29,10,14,59,2,36,11,14,63
5,24,9,11,49,1,31,10,17,59
3,28,14,6,51,0,23,18,8,49
2,35,12,17,66,9,48,13,10,80
4,30,11,13,58,7,28,4,7,46
2,24,7,6,39,1,19,5,7,32
1,28,9,25,63,4,22,15,11,52
2,29,9,22,62,2,44,8,26,80
4,23,12,11,50,2,37,18,22,79
1,21,11,6,39,1,32,16,19,68
3,23,9,18,53,5,18,11,10,44
3,37,9,19,68,4,26,16,14,60
0,33,10,14,57,2,25,9,15,51
1,29,9,13,52,3,25,11,7,46
4,18,7,11,40,3,33,13,25,74
3,26,6,7,42,1,22,11,11,45
0,34,14,25,73,3,19,11,8,41
1,33,11,22,67,2,24,15,20,61
5,25,10,13,53,2,28,15,24,69
5,23,1,13,42,1,41,16,32,90
3,31,8,24,66,3,24,9,12,48
3,26,18,18,65,4,23,11,6,44
3,33,19,17,72,4,29,11,12,56
